datetime,open,high,low,close,volume,amount
2026-02-10 13:45:00,1503.26,1504.23,1503.05,1504.0,86,12930383.0
2026-02-10 13:46:00,1504.23,1504.23,1503.2,1503.84,52,7819667.0
2026-02-10 13:47:00,1503.84,1503.84,1503.27,1503.36,56,8419554.0
2026-02-10 13:48:00,1503.36,1503.4,1503.03,1503.03,127,19091506.0
2026-02-10 13:49:00,1503.03,1503.11,1502.5,1503.02,92,13826673.0
2026-02-10 13:50:00,1503.0,1503.03,1502.57,1503.01,59,8867133.0
2026-02-10 13:51:00,1503.02,1504.24,1503.02,1503.13,104,15636838.0
2026-02-10 13:52:00,1503.13,1504.11,1503.13,1503.22,50,7517587.0
2026-02-10 13:53:00,1503.22,1503.77,1503.22,1503.33,43,6464618.0
2026-02-10 13:54:00,1503.3,1503.46,1502.88,1502.88,98,14731494.0
2026-02-10 13:55:00,1502.58,1502.7,1502.58,1502.69,82,12321617.0
2026-02-10 13:56:00,1502.69,1502.9,1502.62,1502.64,67,10068068.0
2026-02-10 13:57:00,1502.64,1502.91,1502.61,1502.91,123,18483928.0
2026-02-10 13:58:00,1502.93,1502.93,1502.9,1502.91,47,7063706.0
2026-02-10 13:59:00,1502.91,1503.0,1502.9,1502.9,69,10370085.0
2026-02-10 14:00:00,1502.9,1503.0,1502.85,1502.85,56,8416477.0
2026-02-10 14:01:00,1502.85,1502.97,1502.8,1502.8,51,7664665.0
2026-02-10 14:02:00,1502.84,1503.14,1502.52,1502.55,136,20437177.0
2026-02-10 14:03:00,1502.52,1502.56,1502.0,1502.01,94,14122102.0
2026-02-10 14:04:00,1502.0,1502.11,1501.0,1501.0,117,17570974.0
2026-02-10 14:05:00,1501.0,1501.13,1501.0,1501.0,92,13809324.0
2026-02-10 14:06:00,1500.99,1502.0,1500.94,1502.0,132,19880009.0
2026-02-10 14:07:00,1501.67,1501.67,1501.02,1501.61,42,6305562.0
2026-02-10 14:08:00,1501.67,1501.82,1501.67,1501.8,50,7508841.0
2026-02-10 14:09:00,1501.8,1501.8,1501.68,1501.8,77,11563471.0
2026-02-10 14:10:00,1501.71,1501.71,1501.03,1501.03,64,9608436.0
2026-02-10 14:11:00,1501.02,1501.17,1500.53,1501.17,78,11707985.0
2026-02-10 14:12:00,1501.2,1501.21,1501.0,1501.06,89,13359858.0
2026-02-10 14:13:00,1501.08,1501.21,1501.08,1501.14,67,10057766.0
2026-02-10 14:14:00,1501.14,1501.14,1500.5,1500.5,64,9606027.0
2026-02-10 14:15:00,1500.5,1500.67,1500.25,1500.67,84,12604233.0
2026-02-10 14:16:00,1500.51,1500.51,1500.24,1500.24,85,12754024.0
2026-02-10 14:17:00,1500.3,1500.86,1500.15,1500.86,133,19955048.0
2026-02-10 14:18:00,1500.89,1500.89,1500.73,1500.87,59,8855011.0
2026-02-10 14:19:00,1500.87,1502.98,1500.73,1502.98,146,21918483.0
2026-02-10 14:20:00,1502.94,1503.22,1502.0,1502.0,86,12925414.0
2026-02-10 14:21:00,1502.0,1502.57,1502.0,1502.02,81,12168264.0
2026-02-10 14:22:00,1502.02,1502.06,1501.07,1501.07,94,14118355.0
2026-02-10 14:23:00,1501.87,1502.96,1501.87,1502.65,105,15775063.0
2026-02-10 14:24:00,1502.76,1502.94,1502.65,1502.79,48,7213515.0
2026-02-10 14:25:00,1502.78,1503.67,1502.78,1503.2,85,12776142.0
2026-02-10 14:26:00,1503.02,1503.41,1503.02,1503.41,66,9921010.0
2026-02-10 14:27:00,1503.41,1503.68,1503.41,1503.56,80,12028871.0
2026-02-10 14:28:00,1503.43,1503.43,1501.6,1501.6,116,17433005.0
2026-02-10 14:29:00,1501.87,1501.88,1501.16,1501.16,76,11411418.0
2026-02-10 14:30:00,1501.34,1502.22,1501.34,1501.87,105,15768319.0
2026-02-10 14:31:00,1501.88,1502.21,1501.87,1502.21,97,14568808.0
2026-02-10 14:32:00,1502.55,1503.0,1500.99,1500.99,198,29734849.0
2026-02-10 14:33:00,1500.86,1500.86,1500.5,1500.5,91,13657007.0
2026-02-10 14:34:00,1500.4,1502.05,1500.4,1502.05,308,46238643.0
2026-02-10 14:35:00,1502.13,1502.56,1501.45,1501.59,211,31685831.0
2026-02-10 14:36:00,1501.46,1502.8,1501.46,1502.22,183,27483029.0
2026-02-10 14:37:00,1502.21,1502.22,1501.83,1502.11,124,18626715.0
2026-02-10 14:38:00,1502.18,1502.56,1502.15,1502.21,121,18177165.0
2026-02-10 14:39:00,1502.15,1503.99,1502.15,1503.11,319,47942861.0
2026-02-10 14:40:00,1503.66,1504.05,1503.0,1503.62,640,96205033.0
2026-02-10 14:41:00,1503.71,1504.26,1503.0,1504.26,131,19699994.0
2026-02-10 14:42:00,1504.15,1505.04,1504.15,1504.83,258,38827989.0
2026-02-10 14:43:00,1504.66,1504.8,1503.81,1503.81,210,31587334.0
2026-02-10 14:44:00,1503.79,1504.58,1503.76,1504.46,429,64542889.0
2026-02-10 14:45:00,1504.48,1505.0,1504.48,1504.92,298,44838683.0
2026-02-10 14:46:00,1504.9,1505.01,1504.9,1504.98,179,26939139.0
2026-02-10 14:47:00,1504.98,1504.98,1503.9,1504.05,186,27983333.0
2026-02-10 14:48:00,1504.0,1504.75,1503.99,1504.75,225,33848202.0
2026-02-10 14:49:00,1504.75,1505.2,1504.75,1505.05,244,36739845.0
2026-02-10 14:50:00,1505.0,1505.06,1504.13,1504.27,277,41666370.0
2026-02-10 14:51:00,1504.27,1504.34,1503.58,1503.8,165,24816325.0
2026-02-10 14:52:00,1503.48,1503.65,1503.43,1503.49,181,27212652.0
2026-02-10 14:53:00,1503.48,1504.33,1503.48,1504.33,242,36363554.0
2026-02-10 14:54:00,1504.34,1504.91,1504.34,1504.91,194,29190517.0
2026-02-10 14:55:00,1504.85,1505.01,1504.73,1504.9,217,32656712.0
2026-02-10 14:56:00,1504.94,1505.0,1504.91,1505.0,294,44245945.0
2026-02-10 14:57:00,1504.98,1504.98,1504.33,1504.85,222,33407735.0
2026-02-10 14:58:00,1504.86,1504.86,1504.86,1504.86,2,300972.0
2026-02-10 14:59:00,1504.86,1504.86,1504.86,1504.86,0,0.0
2026-02-10 15:00:00,1504.8,1504.8,1504.8,1504.8,453,68137344.0
