date,open,high,low,close,volume
2024-06-24,1319.54,1385.53,1310.55,1373.09,63840
2024-06-25,1373.54,1399.53,1373.54,1383.19,42098
2024-06-26,1376.54,1397.61,1374.34,1385.76,29570
2024-06-27,1388.54,1390.51,1364.54,1387.03,32822
2024-06-28,1376.54,1391.03,1360.54,1363.93,38582
2024-07-01,1365.42,1369.53,1324.54,1336.92,32161
2024-07-02,1329.54,1394.54,1329.54,1387.24,51853
2024-07-03,1395.54,1409.55,1384.56,1396.54,31573
2024-07-04,1401.54,1408.54,1377.67,1382.28,24380
2024-07-05,1375.54,1389.72,1346.54,1349.54,38829
2024-07-08,1339.54,1354.31,1315.68,1316.54,39527
2024-07-09,1316.54,1351.43,1306.64,1334.57,33621
2024-07-10,1335.79,1362.42,1331.54,1334.13,23763
2024-07-11,1346.51,1365.54,1336.75,1358.63,29020
2024-07-12,1369.55,1382.94,1361.99,1375.36,23386
2024-07-15,1366.54,1384.54,1366.54,1371.44,19176
2024-07-16,1372.54,1378.54,1361.59,1372.54,20316
2024-07-17,1372.64,1399.54,1366.56,1397.94,34311
2024-07-18,1396.04,1411.54,1389.07,1394.05,28870
2024-07-19,1387.35,1425.72,1380.55,1422.16,38943
2024-07-22,1421.57,1426.52,1388.19,1395.54,28543
2024-07-23,1395.54,1397.54,1351.54,1351.54,30944
2024-07-24,1346.74,1360.24,1331.54,1336.56,24123
2024-07-25,1336.56,1344.54,1316.55,1327.03,28347
2024-07-26,1327.03,1334.26,1307.44,1318.73,32354
2024-07-29,1311.54,1318.53,1294.54,1294.56,30869
2024-07-30,1282.52,1286.81,1257.84,1276.53,51779
2024-07-31,1269.64,1323.81,1269.64,1317.82,43272
2024-08-01,1314.54,1316.54,1281.24,1282.7,32038
2024-08-02,1270.14,1293.51,1270.14,1281.99,21928
2024-08-05,1285.42,1322.54,1282.06,1306.55,37736
2024-08-06,1318.54,1320.54,1290.55,1301.24,27444
2024-08-07,1302.04,1318.53,1294.84,1312.04,20622
2024-08-08,1307.54,1344.72,1305.54,1327.23,25131
2024-08-09,1356.57,1365.54,1333.34,1333.34,30138
2024-08-12,1326.54,1339.54,1323.12,1332.64,13632
2024-08-13,1329.54,1331.54,1308.55,1319.55,16308
2024-08-14,1319.55,1321.44,1308.56,1309.84,13414
2024-08-15,1301.57,1332.53,1300.49,1323.43,23039
2024-08-16,1323.33,1332.46,1313.55,1327.74,16455
2024-08-19,1328.54,1355.42,1321.54,1321.98,20433
2024-08-20,1326.44,1326.47,1310.54,1319.26,18591
2024-08-21,1316.54,1324.52,1312.23,1314.12,15092
2024-08-22,1312.54,1316.54,1296.55,1306.59,19527
2024-08-23,1304.54,1320.04,1302.66,1311.53,15320
2024-08-26,1313.54,1320.4,1299.69,1308.54,15628
2024-08-27,1308.54,1309.54,1297.65,1300.61,13657
2024-08-28,1300.61,1302.54,1271.54,1285.54,31664
2024-08-29,1276.54,1314.54,1276.54,1309.84,27472
2024-08-30,1309.54,1354.61,1301.54,1339.73,38739
2024-09-02,1326.54,1334.54,1291.54,1291.54,34135
2024-09-03,1294.54,1311.52,1289.56,1306.54,17888
2024-09-04,1298.54,1315.73,1296.28,1296.54,14211
2024-09-05,1297.04,1303.54,1293.54,1301.42,14503
2024-09-06,1301.54,1302.54,1294.54,1294.54,10321
2024-09-09,1276.55,1290.25,1266.62,1271.54,28638
2024-09-10,1266.56,1289.54,1266.56,1274.54,19803
2024-09-11,1272.14,1282.42,1261.54,1276.54,20996
2024-09-12,1276.54,1281.54,1231.45,1231.6,47948
2024-09-13,1227.54,1228.54,1193.84,1200.67,56005
2024-09-18,1196.54,1196.55,1163.2,1163.44,46185
2024-09-19,1158.54,1189.42,1142.37,1157.54,59988
2024-09-20,1158.04,1170.44,1146.57,1160.46,39982
2024-09-23,1164.54,1190.04,1157.2,1158.08,45550
2024-09-24,1181.63,1269.54,1161.63,1269.14,100413
2024-09-25,1296.59,1323.54,1293.25,1295.54,73954
2024-09-26,1296.5,1426.41,1292.54,1425.54,97278
2024-09-27,1496.54,1525.74,1461.9,1525.74,87922
2024-09-30,1588.54,1656.42,1548.54,1644.54,157293
2024-10-08,1806.54,1806.54,1576.72,1619.54,194709
2024-10-09,1596.54,1596.54,1486.54,1491.69,120197
2024-10-10,1518.8,1564.62,1487.54,1536.54,74603
2024-10-11,1511.94,1536.5,1486.54,1501.53,41915
2024-10-14,1509.54,1517.17,1477.71,1498.53,44812
2024-10-15,1495.54,1497.53,1449.55,1450.79,43571
2024-10-16,1437.42,1446.34,1406.54,1419.04,46664
2024-10-17,1433.54,1434.2,1389.95,1391.14,39460
2024-10-18,1389.54,1464.38,1375.5,1437.54,68619
2024-10-21,1437.75,1446.51,1417.75,1425.34,42008
2024-10-22,1423.1,1456.72,1420.74,1439.54,36269
2024-10-23,1440.65,1473.49,1428.54,1464.04,40088
2024-10-24,1457.54,1471.54,1441.55,1448.74,23923
2024-10-25,1443.54,1471.33,1442.55,1455.39,27745
2024-10-28,1456.54,1461.54,1418.77,1461.54,39121
2024-10-29,1456.54,1476.54,1426.54,1428.16,41166
2024-10-30,1421.54,1447.73,1419.95,1428.54,32006
2024-10-31,1428.69,1436.54,1416.54,1424.33,29957
2024-11-01,1417.54,1441.67,1417.34,1430.29,32284
2024-11-04,1441.47,1446.54,1424.6,1444.74,29093
2024-11-05,1436.54,1474.24,1432.55,1473.53,45640
2024-11-06,1471.54,1485.53,1457.76,1467.54,37631
2024-11-07,1459.0,1550.04,1458.84,1545.68,74739
2024-11-08,1557.43,1563.65,1497.55,1506.51,60771
2024-11-11,1486.54,1506.49,1463.73,1494.55,43854
2024-11-12,1485.54,1519.54,1470.49,1473.74,49223
2024-11-13,1464.54,1483.2,1457.82,1475.04,29125
2024-11-14,1466.54,1490.99,1462.19,1470.34,29248
2024-11-15,1465.54,1480.34,1449.54,1455.54,33761
2024-11-18,1458.54,1472.53,1451.54,1455.54,27092
2024-11-19,1461.54,1465.91,1421.54,1438.46,33266
2024-11-20,1439.54,1450.51,1427.84,1441.35,21345
2024-11-21,1440.41,1445.53,1428.54,1441.67,18262
2024-11-22,1437.69,1444.31,1404.36,1404.36,33436
