date,open,high,low,close,volume
2024-04-23,1558.24,1576.84,1558.24,1574.31,24979.95
2024-04-24,1578.68,1581.41,1565.98,1575.54,17086.43
2024-04-25,1572.5,1577.4,1564.98,1575.02,14476.48
2024-04-26,1575.91,1594.52,1575.89,1590.27,30995.92
2024-04-29,1578.66,1607.54,1575.74,1585.21,41332.23
2024-04-30,1586.15,1609.29,1586.14,1586.14,30759.89
2024-05-06,1613.09,1641.96,1606.61,1637.5,59909.49
2024-05-07,1642.7,1653.87,1634.22,1646.61,24924.52
2024-05-08,1646.32,1646.59,1633.28,1641.0,14769.09
2024-05-09,1635.45,1641.94,1628.01,1633.59,22387.34
2024-05-10,1638.33,1644.64,1613.11,1617.76,26206.61
2024-05-13,1611.28,1611.88,1582.63,1587.07,37662.12
2024-05-14,1587.07,1593.84,1581.5,1583.33,21274.17
2024-05-15,1583.89,1588.94,1580.18,1581.49,15738.76
2024-05-16,1586.14,1590.68,1572.19,1585.68,29679.54
2024-05-17,1581.5,1596.92,1581.49,1595.45,28923.88
2024-05-20,1598.23,1612.18,1589.04,1589.87,31425.72
2024-05-21,1588.94,1590.54,1579.78,1586.14,16293.39
2024-05-22,1584.28,1590.76,1573.12,1579.36,20285.68
2024-05-23,1581.49,1587.43,1572.26,1574.06,18884.97
2024-05-24,1574.98,1576.84,1560.1,1560.17,20216.63
2024-05-27,1561.03,1569.82,1551.73,1553.7,25097.91
2024-05-28,1553.96,1558.39,1547.07,1548.6,23520.87
2024-05-29,1549.86,1562.89,1548.93,1557.31,19651.28
2024-05-30,1558.24,1558.59,1534.05,1534.05,32207.92
2024-05-31,1535.44,1547.54,1533.54,1533.54,21856.65
2024-06-03,1534.98,1535.83,1521.13,1525.11,30261.05
2024-06-04,1526.14,1540.56,1522.47,1537.96,20841.08
2024-06-05,1536.84,1543.05,1528.49,1529.4,19055.57
2024-06-06,1529.08,1536.83,1521.87,1525.5,25610.05
2024-06-07,1531.38,1531.42,1506.15,1506.31,33524.55
2024-06-11,1491.25,1493.12,1457.76,1459.62,70246.76
2024-06-12,1460.56,1479.16,1460.56,1462.12,33170.5
2024-06-13,1466.85,1466.96,1444.88,1446.61,36185.97
2024-06-14,1446.6,1454.94,1414.47,1446.6,59514.16
2024-06-17,1425.47,1440.8,1405.68,1434.04,48318.16
2024-06-18,1424.17,1446.17,1410.95,1415.44,41258.25
2024-06-19,1422.44,1428.14,1407.35,1425.3,41261.53
2024-06-20,1424.35,1439.55,1422.45,1424.44,24710.68
2024-06-21,1424.82,1429.08,1396.07,1396.81,43319.97
2024-06-24,1351.23,1413.89,1342.69,1402.08,63839.93
2024-06-25,1402.52,1427.2,1402.52,1411.69,42097.95
2024-06-26,1405.29,1425.29,1403.2,1414.04,29569.77
2024-06-27,1416.68,1418.55,1393.89,1415.25,32821.78
2024-06-28,1405.29,1419.04,1390.09,1393.31,38582.02
2024-07-01,1394.73,1398.63,1355.91,1367.67,32161.38
2024-07-02,1360.66,1422.38,1360.66,1415.44,51852.98
2024-07-03,1423.33,1436.63,1412.9,1424.28,31573.26
2024-07-04,1429.02,1435.67,1406.36,1410.74,24379.73
2024-07-05,1404.34,1417.8,1376.8,1379.65,38829.38
2024-07-08,1370.15,1384.18,1347.5,1348.31,39527.05
2024-07-09,1348.31,1381.44,1338.91,1365.43,33620.71
2024-07-10,1366.59,1391.88,1362.56,1365.02,23763.22
2024-07-11,1376.77,1394.84,1367.5,1388.28,29020.14
2024-07-12,1398.65,1411.36,1391.47,1404.16,23386.34
2024-07-15,1395.79,1412.88,1395.79,1400.44,19176.26
2024-07-16,1401.49,1407.18,1391.09,1401.49,20316.44
2024-07-17,1401.58,1427.12,1395.81,1425.6,34311.01
2024-07-18,1423.8,1438.52,1417.18,1421.91,28870.39
2024-07-19,1415.55,1451.98,1409.09,1448.6,38942.91
2024-07-22,1448.04,1452.74,1416.35,1423.33,28543.21
2024-07-23,1423.33,1425.22,1381.55,1381.55,30943.96
2024-07-24,1376.99,1389.81,1362.56,1367.32,24122.55
2024-07-25,1367.32,1374.9,1348.32,1358.27,28346.56
2024-07-26,1358.27,1365.14,1339.67,1350.39,32353.79
2024-07-29,1343.57,1350.2,1327.42,1327.44,30869.07
2024-07-30,1316.01,1320.08,1292.58,1310.32,51779.04
2024-07-31,1303.78,1355.22,1303.78,1349.53,43272.32
2024-08-01,1346.42,1348.31,1314.8,1316.18,32038.1
2024-08-02,1304.26,1326.45,1304.26,1315.51,21927.69
