end_date,eps,bps,ocfps,undist_profit_ps,roe,roa,grossprofit_margin,netprofit_margin,op_margin,debt_to_assets,current_ratio,quick_ratio,assets_turn,operating_cashflow,investing_cashflow,financing_cashflow,ocf_to_revenue,ocf_to_profit,total_assets,total_liab,total_equity,revenue,net_profit,monetary_funds,total_shares
20200930,26.93,118.1759,19.9897,99.3228,23.7832,19.4229,91.325,51.5282,68.97,16.474,5.1796,4.2922,0.3769,25111002819.99,-1313883405.3,-23878305736.27,36.0921,0.7004,184579196650.8,30407538525.41,154171658125.39,69574876860.53,35850673342.16,27075309623.01,
20201231,37.17,128.4214,41.1313,109.5324,31.4108,23.2073,91.4092,50.5375,67.9997,21.4039,4.0648,3.4327,0.4592,51669068693.03,-1805227155.72,-24127536908.26,52.7272,1.0433,213395810527.46,45675127426.18,167720683101.28,97993240501.21,49523329882.4,36091090060.9,
20210331,11.11,139.5276,-1.1821,120.6409,8.2915,6.8637,91.6763,52.6356,70.245,15.2071,5.7487,4.8327,0.1304,-1484892858.66,-1423592204.62,-41557504.17,-5.291,-0.1005,215218185984.61,32728418219.03,182489767765.58,28064735731.77,14772030035.62,50743255374.4,
20210630,19.63,128.7518,17.2898,106.5797,15.2628,12.3112,91.3784,51.6677,69.1456,21.2828,4.0522,3.3691,0.2383,21719470732.97,-3871592479.38,-26408124658.25,42.821,0.8288,212868536822.67,45304445091.2,167564091731.47,50721582926.18,26206683856.15,54197716644.16,
20210930,29.67,138.7906,29.2568,116.6196,22.204,17.6122,91.1914,51.3606,68.8135,19.5313,4.4324,3.7329,0.3429,36752297355.92,-4266102236.42,-26528291765.02,47.6973,0.9287,224702253941.13,43887313587.77,180814940353.36,77053154965.96,39574961191.11,50701984661.77,
20211231,41.76,150.8834,50.9702,127.9391,29.9036,21.8368,91.5403,50.9029,68.2879,22.8127,3.8119,3.2353,0.429,64028676147.37,-5562445704.34,-26564141388.96,58.4928,1.1491,255168195159.9,58210688454.56,196957506705.34,109464278563.89,55720529956.46,51810243607.11,
20220331,13.73,164.6102,-5.4737,141.667,8.7025,7.1436,92.3677,54.0936,72.3981,14.482,5.9767,5.0412,0.1321,-6876059093.79,-1240126213.35,-3846050.69,-20.719,-0.383,251301891385.48,36393614935.7,214908276449.78,33187160227.05,17952116145.8,56375875091.88,
20220630,23.72,152.9242,-0.0089,125.3397,15.6135,12.9687,92.1091,52.3276,70.0409,17.2578,4.948,4.0993,0.2478,-11163941.3,-1705454386.04,-28318526518.81,-0.0188,-0.0004,239849179963.43,41392730000.97,198456449962.46,59443518511.24,31105364072.66,58048264720.81,
20220930,35.34,164.5511,7.4871,136.9667,22.4101,18.6933,91.8744,51.5827,69.0103,13.8484,6.1942,5.1594,0.3624,9405337008.75,-2670952435.78,-29864845719.65,10.4753,0.2031,247756923862.35,34310347852.5,213446576009.85,89785880318.36,46313993773.41,58145037381.83,
20221231,49.93,157.2046,29.214,128.3858,32.4105,25.6879,91.8667,51.2536,68.896,19.4745,4.4147,3.6235,0.5012,36698595830.03,-5536826334.9,-57424528979.83,28.771,0.5613,254500826096.02,49562744832.16,204938081263.86,127553959355.97,65376039957.88,58274318733.23,
20230331,16.55,173.759,4.1751,144.9397,10.0028,8.3303,92.5956,54.66,72.8451,12.3562,6.9427,5.6683,0.1524,5244796293.93,218477578.11,-23119951.23,13.3187,0.2437,258390782822.05,31927208619.42,226463574202.63,39379301807.75,21524725630.16,72450733950.67,
20230630,28.64,159.9399,24.1898,129.9407,18.0614,15.4517,91.7981,52.5897,70.2827,13.3925,6.3536,5.0747,0.2938,30387178194.96,-480141685.34,-32597493410.31,42.8066,0.814,241604264016.34,32356783924.38,209247480091.96,70987206095.38,37331971189.28,70521275705.21,
20230930,42.09,173.3872,39.8042,143.3907,25.4632,20.9203,91.7075,52.0597,69.4781,14.14,5.9588,4.8408,0.4019,50002007018.66,-8316439457.94,-34724722802.48,47.4781,0.912,262076424771.47,37057625012.06,225018799759.41,105315900448.1,54827171371.97,70641010014.72,
20231231,59.49,171.6836,53.0118,137.7038,36.1778,28.4274,91.9649,51.4886,68.8818,17.9843,4.6239,3.6704,0.5521,66593247721.09,-9724414015.16,-58889101991.94,44.2303,0.859,272699660092.25,49043190797.43,223656469294.82,150560330316.45,77521476277.8,69070136376.12,
20240331,19.16,190.8392,7.3137,156.861,10.5688,8.7146,92.6133,53.528,71.3295,12.9543,6.481,5.2018,0.1628,9187422415.09,-766514727.33,-11756332.28,19.7644,0.3692,285524543268.38,36987774717.85,248536768550.53,46484738134.23,24882347326.74,74197126391.43,
20240630,33.19,173.9978,29.1529,138.3314,19.2038,15.4641,91.7603,51.7391,68.9636,18.3242,4.5714,3.6312,0.2989,36621833812.63,-2898860221.14,-38815639978.07,43.8841,0.8482,279207261166.63,51162451517.35,228044809649.28,83451164646.53,43176914345.12,56840349530.82,
20240930,48.42,189.2293,35.3618,153.5615,26.833,21.9797,91.5314,51.1941,68.2221,13.6285,6.1569,4.9116,0.4293,44421386217.45,-605409055.95,-38989316464.81,36.079,0.7047,286770722957.69,39082558719.52,247688164238.17,123122542625.45,63031462239.55,60084745614.27,
20241231,68.64,185.5647,73.606,145.5085,38.4283,29.8834,91.9312,51.2993,68.7296,19.0448,4.4541,3.4925,0.5825,92463692168.43,-1785202630.71,-71067506484.81,53.0961,1.035,298944579918.7,56933264798.1,242011315120.6,174144069958.25,89334728025.9,59295822956.89,
20250331,21.38,205.6665,7.0126,166.8805,10.9255,8.8916,91.9736,53.9906,71.9948,14.143,6.0749,4.8258,0.1647,8809195646.38,-624221953.78,-1607488478.75,17.124,0.3172,312368697395.05,44178362224.66,268190335170.39,51443450583.77,27774636011.61,52199240419.27,
20250630,36.18,189.9753,10.4435,152.5645,19.2486,16.0771,91.2993,51.5806,68.9059,14.7549,5.7297,4.4466,0.3117,13119061031.33,-314350963.69,-39892813631.78,14.4017,0.2792,292257789095.51,43122202832.76,249135586262.75,91093762553.97,46986681449.24,51644880716.93,
20250930,51.53,205.2831,30.502,168.3942,26.3688,21.9529,91.2934,51.1053,68.3629,12.8088,6.6193,5.1783,0.4296,38196802155.27,-5423368095.74,-43243803506.28,29.1793,0.571,304738184929.86,39033160057.01,265705024872.85,130903889634.88,66898804746.17,51753057846.45,
