stock_code,report_date,roe,net_profit,gross_margin,debt_ratio,net_margin,operating_cashflow,total_equity
600233.SH,2022-09-30,11.5198,2810875405.49,11.4619,31.3332,7.2399,4978322721.61,26031567871.77
600233.SH,2022-12-31,15.909,3964127626.68,11.2997,30.7295,7.4041,7390519994.09,27193746097.77
600233.SH,2023-03-31,3.3388,920797474.85,11.5548,30.2709,7.1302,1331876333.6,28116522205.42
600233.SH,2023-06-30,6.8413,1895754433.14,11.0749,29.5665,7.0214,2507691011.59,28280134477.32
600233.SH,2023-09-30,9.6751,2694261205.77,10.4925,30.1487,6.6102,3810023283.75,28850879926.82
600233.SH,2023-12-31,13.4214,3751875317.12,10.1572,32.329,6.5041,6037760414.25,29346903605.83
600233.SH,2024-03-31,3.2227,937459671.0,10.563,29.878,6.0766,579951109.8,30282387414.43
600233.SH,2024-06-30,6.8024,1972276011.89,10.2664,30.9539,6.0565,2310954078.16,30167459739.53
600233.SH,2024-09-30,9.8688,2911725468.24,9.6333,31.5763,5.8978,4082765062.12,31106174685.06
600233.SH,2024-12-31,13.2702,3989215244.27,9.4409,33.3084,5.7787,5856605697.8,32208082599.22
600233.SH,2025-03-31,2.6691,842013852.72,8.5266,31.6778,4.9355,1013003949.74,33058434914.72
600233.SH,2025-06-30,5.7256,1807055812.08,8.6015,33.5644,5.0359,2634248752.44,32780795684.69
600233.SH,2025-09-30,8.8457,2841613735.34,8.871,34.4822,5.2471,4671171794.11,33852802818.0
600276.SH,2022-03-31,3.4723,1208270948.16,84.3883,7.6217,22.0546,148056761.57,36782780333.22
600276.SH,2022-06-30,5.964,2068059471.82,83.4971,10.0891,20.2195,845422387.81,36635038476.44
600276.SH,2022-09-30,8.8449,3096046599.46,83.2631,7.1321,19.4167,2187574452.3,37309719645.68
600276.SH,2022-12-31,10.7279,3815141579.62,83.6118,9.3412,17.9323,1265264631.93,38412908595.12
600276.SH,2023-03-31,3.2304,1233392458.39,84.3506,6.667,22.4567,213969280.7,39474084055.25
600276.SH,2023-06-30,6.0202,2290405823.55,84.1573,6.0186,20.508,2875348469.37,39435865052.48
