date,close,open,high,low,volume
2025-07-18,582.62,580.55,589.98,578.03,51156.45
2025-07-21,582.0,587.0,599.57,580.08,59576.41
2025-07-22,593.93,581.9,601.09,580.1,65632.2
2025-07-23,595.56,593.2,603.0,586.53,54486.53
2025-07-24,600.23,591.5,604.95,591.5,49166.21
2025-07-25,673.3,599.53,698.01,599.53,127392.73
2025-07-28,679.0,673.0,688.7,654.02,95079.83
2025-07-29,710.78,676.0,718.0,673.0,114103.81
2025-07-30,684.7,700.0,708.0,680.0,76531.96
2025-07-31,709.5,685.0,735.0,680.01,117690.78
2025-08-01,689.1,700.0,716.0,680.0,71835.98
2025-08-04,689.06,687.58,699.95,675.17,57761.09
2025-08-05,695.0,686.0,699.9,682.58,48788.23
2025-08-06,694.34,691.86,696.39,685.0,43399.78
2025-08-07,703.0,700.51,731.0,686.01,108244.28
2025-08-08,692.8,691.0,702.93,670.0,65253.31
2025-08-11,707.4,692.5,711.8,690.61,55594.27
2025-08-12,848.88,702.5,848.88,696.06,191621.93
2025-08-13,860.0,830.0,868.0,820.0,134683.86
2025-08-14,949.0,865.0,985.0,865.0,150710.68
2025-08-15,923.7,923.0,935.0,904.81,110398.69
2025-08-18,950.0,950.28,987.99,925.46,115423.02
2025-08-19,933.98,939.0,1001.1,927.92,105469.57
2025-08-20,1013.0,920.11,1027.0,900.0,127059.5
2025-08-21,1036.0,1020.0,1080.18,1005.57,114027.97
2025-08-22,1243.2,1075.0,1243.2,1075.0,141160.82
2025-08-25,1384.93,1321.0,1391.0,1266.0,187639.05
2025-08-26,1329.0,1310.0,1348.0,1289.01,118132.28
2025-08-27,1372.1,1378.88,1464.98,1341.02,178950.9
2025-08-28,1587.91,1420.0,1595.88,1391.0,178270.45
2025-08-29,1492.49,1480.0,1534.97,1420.0,178637.73
2025-09-01,1448.39,1460.0,1508.6,1358.75,175381.16
2025-09-02,1480.0,1451.0,1540.0,1431.0,173376.45
2025-09-03,1405.0,1419.0,1439.0,1371.0,141492.06
2025-09-04,1202.0,1375.0,1389.0,1182.0,221653.87
2025-09-05,1281.46,1220.0,1310.15,1172.0,200038.78
2025-09-08,1212.78,1245.0,1257.99,1183.0,140728.03
2025-09-09,1228.07,1180.01,1267.0,1180.01,103581.54
2025-09-10,1273.0,1268.0,1325.0,1236.78,138585.37
2025-09-11,1387.0,1295.0,1436.47,1276.0,190932.43
2025-09-12,1488.0,1387.0,1522.22,1372.0,197411.49
2025-09-15,1440.0,1505.0,1529.4,1411.1,114491.32
2025-09-16,1440.1,1468.0,1528.0,1428.53,136802.74
2025-09-17,1442.0,1413.3,1470.02,1372.25,98617.47
2025-09-18,1420.99,1508.0,1518.0,1381.11,171994.85
2025-09-19,1349.24,1392.0,1420.0,1342.0,126552.24
2025-09-22,1398.0,1327.99,1429.9,1301.0,134359.68
2025-09-23,1350.38,1400.0,1425.0,1313.33,128180.62
2025-09-24,1374.0,1330.0,1400.0,1330.0,100897.18
2025-09-25,1386.69,1369.39,1414.99,1350.0,90301.12
2025-09-26,1339.0,1365.0,1390.0,1334.0,75520.99
2025-09-29,1323.5,1320.0,1338.98,1271.0,90298.05
2025-09-30,1325.0,1388.0,1399.0,1318.23,86539.81
2025-10-09,1332.79,1360.5,1405.93,1332.0,118338.23
2025-10-10,1247.08,1302.0,1304.31,1240.99,108213.0
2025-10-13,1262.11,1210.0,1278.0,1210.0,87752.78
2025-10-14,1196.0,1271.99,1271.99,1190.0,105876.0
2025-10-15,1242.0,1208.0,1246.98,1190.0,70806.98
