stock_code,stock_name,industry,end_date,roe,netprofit_yoy,grossprofit_margin,debt_to_assets,current_ratio,operating_cashflow,ocf_to_revenue,ocf_to_profit,net_profit,revenue,eps,bps,roa,netprofit_margin,quick_ratio,assets_turn,total_assets,total_equity,roe_industry_pct,netprofit_yoy_industry_pct,grossprofit_margin_industry_pct,ocf_to_revenue_industry_pct,debt_to_assets_industry_pct,roe_industry_score,netprofit_yoy_industry_score,grossprofit_margin_industry_score,debt_to_assets_industry_score,ocf_to_revenue_industry_score,industry_score
001216.SZ,华瓷股份,SW1轻工制造,20260331,2.3489,6.84,34.3196,18.3383,3.2156,73081867.42,24.2241,1.6873,43313001.69,301690251.6,0.1736,7.4829,1.8702,14.3568,2.749,0.1303,2315929965.72,1891227493.21,0.8089171974522293,0.6582278481012658,0.8670886075949367,0.9620253164556962,0.8670886075949367,5.0,4.0,5.0,5.0,5.0,24.0
301566.SZ,达利凯普,SW1电子,20260331,3.6029,39.88,67.6235,4.4902,38.7354,21094958.67,18.3702,0.3911,53932797.47,114832631.05,0.13,3.8072,3.3736,46.9664,35.3171,0.0718,1598684409.71,1526900252.95,0.8849372384937239,0.775609756097561,0.9853556485355649,0.799163179916318,0.9790794979079498,5.0,4.0,5.0,5.0,4.0,23.0
002270.SZ,华明装备,SW1电力设备,20260331,5.2055,16.11,53.2465,37.1784,2.3056,92367764.55,17.4189,0.5633,163966675.85,530271786.47,0.1825,3.4829,3.2705,30.9213,1.9754,0.1058,5013571873.28,3149605078.05,0.9419889502762431,0.6514285714285715,0.989041095890411,0.8931506849315068,0.7095890410958905,5.0,4.0,5.0,4.0,5.0,23.0
002372.SZ,伟星新材,SW1建筑材料,20260331,2.4174,-23.51,41.4025,21.5933,3.048,122826862.22,15.1135,1.0252,119810585.56,812693830.31,0.08,3.1404,1.8599,14.7424,2.3809,0.1262,6441852285.81,5050845070.68,0.8714285714285714,0.5609756097560976,0.9861111111111112,0.8888888888888888,0.8611111111111112,5.0,3.0,5.0,5.0,5.0,23.0
301551.SZ,无线传媒,SW1传媒,20260331,2.7852,0.03,57.2217,7.4293,9.3811,59526791.21,40.7798,0.8593,69274174.42,145971262.16,0.1732,6.3046,2.5428,47.4574,9.3775,0.0536,2724297630.52,2521902080.86,0.8307692307692308,0.5882352941176471,0.8307692307692308,0.9461538461538461,0.9769230769230769,5.0,3.0,5.0,5.0,5.0,23.0
301160.SZ,翔楼新材,SW1钢铁,20260331,2.6003,0.62,21.204,19.6562,4.6022,131306943.46,37.9952,2.77,47403159.84,345588174.25,0.42,16.4074,2.0404,13.7167,3.4692,0.1488,2323275477.62,1866606956.55,0.8837209302325582,0.5882352941176471,0.8409090909090909,0.9772727272727273,0.8863636363636364,5.0,3.0,5.0,5.0,5.0,23.0
300445.SZ,康斯特,SW1机械设备,20260331,2.6031,-16.9,63.5244,8.1625,13.3376,42811004.73,30.9305,1.3202,32426653.27,138410461.1,0.16,6.1832,2.2437,23.4279,11.1335,0.0958,1445223922.16,1327257270.51,0.8245283018867925,0.4591439688715953,0.981203007518797,0.9342105263157895,0.9868421052631579,5.0,3.0,5.0,5.0,5.0,23.0
002001.SZ,新 和 成,SW1基础化工,20260331,5.3791,15.35,42.881,25.6351,2.8185,1683660102.64,26.7475,0.9172,1835723725.79,6294652672.67,0.59,11.4308,3.8684,29.1632,2.2364,0.1326,47454817704.07,35289742192.24,0.9705882352941176,0.6666666666666666,0.9632352941176471,0.9313725490196079,0.7230392156862745,5.0,4.0,5.0,4.0,5.0,23.0
002034.SZ,旺能环境,SW1环保,20260331,2.7507,35.1,44.3165,46.0195,0.7596,255976619.19,30.6295,1.2533,204235830.77,835718557.55,0.46,16.7957,1.4572,24.4384,0.7448,0.0596,14015155390.33,7565447168.98,0.8396946564885496,0.7761194029850746,0.9097744360902256,0.9172932330827067,0.6390977443609023,5.0,4.0,5.0,4.0,5.0,23.0
300986.SZ,志特新材,SW1建筑装饰,20260331,1.7413,94.45,25.4548,63.2536,0.8597,81835537.52,12.086,2.2155,36938192.31,677107690.09,0.0941,5.4124,0.5667,5.4553,0.7485,0.1039,6518212723.78,2395207360.29,0.8344370860927153,0.875,0.8269230769230769,0.8653846153846154,0.4551282051282052,5.0,5.0,5.0,3.0,5.0,23.0
300502.SZ,新易盛,SW1通信,20260331,14.5175,236.64,49.161,31.035,2.9125,684071355.88,8.2044,0.2466,2774196263.34,8337902040.74,2.8,20.5015,9.3294,33.2721,1.8159,0.2804,29736124932.02,20507524549.0,0.9836065573770492,0.9692307692307692,0.8934426229508197,0.7786885245901639,0.6557377049180328,5.0,5.0,5.0,4.0,4.0,23.0
002439.SZ,启明星辰,SW1计算机,20260331,0.4483,153.86,58.2046,15.4494,3.3635,-34951651.75,-5.2371,-0.7175,48712675.91,667381517.31,0.0402,8.9903,0.3782,7.2991,3.1562,0.0518,12880806758.03,10890796965.33,0.7021276595744681,0.9166666666666666,0.8383233532934131,0.7335329341317365,0.8023952095808383,4.0,5.0,5.0,5.0,4.0,23.0
000807.SZ,云铝股份,SW1有色金属,20260331,10.6372,44.1,31.5743,17.7381,3.4086,3397294147.83,20.7365,0.8195,4145649392.05,16383159877.77,1.038,10.2805,8.6166,25.3043,2.7015,0.3405,48112542892.05,39578268072.0,0.935251798561151,0.7424242424242424,0.7697841726618705,0.8345323741007195,0.935251798561151,5.0,4.0,4.0,5.0,5.0,23.0
300009.SZ,安科生物,SW1医药生物,20260331,3.6035,4.4,75.5904,13.4179,4.3005,140830669.81,25.9971,0.818,172164747.08,541715939.09,0.1,2.8381,3.0393,31.7814,3.8306,0.0956,5664605033.87,4904535070.91,0.8535564853556485,0.6405529953917051,0.8598326359832636,0.8535564853556485,0.7933194154488518,5.0,4.0,5.0,4.0,5.0,23.0
300628.SZ,亿联网络,SW1通信,20260331,6.7917,-1.78,65.2371,7.5776,11.3381,253265357.34,17.6857,0.3862,655796054.24,1432034328.38,0.5177,7.8815,6.0708,45.7947,9.2283,0.1326,10802443121.88,9983881255.89,0.9508196721311475,0.5692307692307692,0.9918032786885246,0.8688524590163934,0.9918032786885246,5.0,3.0,5.0,5.0,5.0,23.0
300487.SZ,蓝晓科技,SW1基础化工,20260331,4.0463,13.65,55.4818,31.5658,3.3085,200128167.78,32.9681,1.0992,182073910.39,607035376.03,0.36,8.7464,2.6967,29.994,2.5305,0.0899,6751700320.46,4620470255.35,0.9411764705882353,0.6515151515151515,0.9901960784313726,0.9558823529411765,0.607843137254902,5.0,4.0,5.0,4.0,5.0,23.0
300398.SZ,飞凯材料,SW1电子,20260331,2.637,49.6,39.6403,27.4,2.3108,230613758.23,26.4245,1.6527,139536536.4,872726142.15,0.23,8.8953,1.9526,15.9886,1.8702,0.1221,7146359409.61,5188259198.34,0.8347280334728033,0.7951219512195122,0.8263598326359832,0.895397489539749,0.6297071129707112,5.0,4.0,5.0,4.0,5.0,23.0
