trade_date,close,day_chg,vol_ratio,mcap_yi,sector_chg,sector_rise,v1_pass,v2_pass,v2_reason,dragon_score,future_ret
2025-09-24,26.45,0.0126,0.77,3538.1,0.0115,0.979,0,0,,2.239,0.0447
2025-09-25,26.47,0.0008,0.68,3540.7,-0.0036,0.255,0,0,,1.343,0.0284
2025-09-26,26.06,-0.0155,0.72,3485.9,-0.0032,0.234,0,0,,1.19,0.0276
2025-09-29,27.58,0.0583,2.82,3689.2,0.0445,1.0,0,0,,3.846,-0.0447
2025-09-30,27.12,-0.0167,1.04,3627.7,-0.0055,0.128,0,0,,1.241,-0.0339
2025-10-09,26.76,-0.0133,1.09,3579.5,0.0071,0.787,0,0,,1.87,-0.0552
2025-10-10,26.09,-0.025,1.02,3489.9,0.0059,0.702,0,0,,1.691,0.0147
2025-10-13,25.62,-0.018,0.64,3427.0,-0.0084,0.106,0,0,,1.149,-0.0109
2025-10-14,25.16,-0.018,0.63,3365.5,-0.0056,0.234,0,0,,1.146,-0.0193
2025-10-15,25.54,0.0151,0.58,3416.3,0.009,0.872,0,0,,2.129,-0.0157
2025-10-16,25.42,-0.0047,0.51,3400.3,-0.0051,0.213,0,0,,1.255,-0.0016
2025-10-17,24.86,-0.022,0.79,3325.4,-0.0209,0.043,0,0,,1.137,-0.0051
2025-10-20,25.02,0.0064,0.68,3346.8,0.0018,0.638,0,0,,1.746,0.0139
2025-10-21,25.36,0.0136,1.0,3392.3,0.0109,0.979,0,0,,2.269,0.0274
2025-10-22,25.12,-0.0095,0.65,3360.1,-0.01,0.085,0,0,,1.235,0.035
2025-10-23,25.47,0.0139,1.0,3407.0,0.0114,0.979,0,0,,2.298,0.018
2025-10-24,25.9,0.0169,1.42,3464.5,0.0079,0.915,0,0,,2.269,0.0053
2025-10-27,26.04,0.0054,1.81,3483.2,0.0115,0.957,0,0,,2.375,-0.0085
2025-10-28,26.0,-0.0015,1.12,3477.9,-0.0088,0.149,0,0,,1.409,-0.0158
2025-10-29,26.49,0.0188,1.69,3543.4,0.023,1.0,0,0,,2.945,-0.0278
2025-10-30,25.63,-0.0325,1.18,3428.4,-0.021,0.0,0,0,,1.112,-0.0202
2025-10-31,25.5,-0.0051,0.57,3411.0,-0.0098,0.17,0,0,,1.263,-0.009
2025-11-03,25.56,0.0024,0.53,3419.0,-0.0043,0.277,0,0,,1.329,0.0039
2025-11-04,25.26,-0.0117,0.52,3378.9,-0.0044,0.213,0,0,,1.186,0.002
2025-11-05,25.26,0.0,0.5,3378.9,-0.0032,0.149,0,0,,1.3,0.0051
2025-11-06,25.51,0.0099,0.93,3412.3,0.0104,0.936,0,0,,2.199,-0.0138
2025-11-07,25.14,-0.0145,0.95,3362.8,-0.0106,0.085,0,0,,1.245,-0.0171
2025-11-10,25.4,0.0103,1.05,3397.6,0.0136,1.0,0,0,,2.355,-0.0102
2025-11-11,24.93,-0.0185,1.23,3334.7,-0.0092,0.106,0,0,,1.262,-0.0156
2025-11-12,24.69,-0.0096,0.98,3302.6,-0.0095,0.064,0,0,,1.299,-0.0033
2025-11-13,25.13,0.0178,1.03,3361.5,0.0102,1.0,0,0,,2.29,-0.0165
2025-11-14,24.54,-0.0235,0.92,3282.6,-0.0109,0.043,0,0,,1.149,-0.0073
2025-11-17,24.51,-0.0012,0.67,3278.6,-0.0085,0.106,0,0,,1.322,-0.0176
2025-11-18,24.49,-0.0008,0.72,3275.9,0.0013,0.34,0,0,,1.337,-0.0482
2025-11-19,24.33,-0.0065,0.93,3254.5,-0.0025,0.319,0,0,,1.321,-0.0518
2025-11-20,24.07,-0.0107,1.21,3219.7,-0.0047,0.298,0,0,,1.334,-0.0193
2025-11-21,23.3,-0.032,1.69,3116.7,-0.0349,0.0,0,0,,1.219,-0.0026
2025-11-24,23.43,0.0056,0.87,3134.1,0.0036,0.638,0,0,,1.776,-0.0081
2025-11-25,23.42,-0.0004,0.95,3132.7,0.0003,0.404,0,0,,1.386,-0.0009
2025-11-26,23.34,-0.0034,0.79,3122.0,-0.0041,0.128,0,0,,1.324,-0.0103
2025-11-27,23.3,-0.0017,0.91,3116.7,0.0001,0.383,0,0,,1.366,-0.0292
2025-11-28,23.4,0.0043,0.87,3130.1,0.0057,0.915,0,0,,1.945,-0.0426
2025-12-01,23.09,-0.0132,1.69,3088.6,0.0032,0.745,0,0,,1.906,-0.0278
2025-12-02,22.61,-0.0208,1.12,3024.4,-0.0086,0.021,0,0,,1.217,0.0282
2025-12-03,22.23,-0.0168,1.04,2973.6,-0.0083,0.043,0,0,,1.239,0.0625
2025-12-04,22.39,0.0072,0.79,2995.0,0.0028,0.66,0,0,,1.829,0.0416
2025-12-05,23.31,0.0411,2.44,3118.0,0.0225,0.957,0,0,,3.297,-0.0214
2025-12-08,23.64,0.0142,1.93,3162.2,0.0124,0.851,0,0,,2.525,-0.0239
2025-12-09,23.28,-0.0152,0.76,3114.0,-0.0134,0.064,0,0,,1.201,-0.0082
2025-12-10,23.29,0.0004,0.62,3115.4,0.0054,0.766,0,0,,1.843,-0.0214
2025-12-11,22.84,-0.0193,0.54,3055.2,-0.0142,0.021,0,0,,1.114,-0.0122
2025-12-12,23.02,0.0079,0.62,3079.2,0.0067,0.894,0,0,,1.971,0.0123
2025-12-15,22.85,-0.0074,0.63,3056.5,0.0007,0.532,0,0,,1.331,0.0048
2025-12-16,22.61,-0.0105,0.85,3024.4,-0.0061,0.085,0,0,,1.265,0.0172
2025-12-17,23.09,0.0212,1.68,3088.6,0.013,0.936,0,0,,2.569,0.0035
2025-12-18,22.86,-0.01,0.83,3057.8,-0.0098,0.064,0,0,,1.267,0.0066
2025-12-19,23.0,0.0061,0.86,3076.6,0.0055,0.787,0,0,,1.953,0.0096
2025-12-22,23.08,0.0035,0.73,3087.3,-0.0015,0.234,0,0,,1.38,0.0121
2025-12-23,23.02,-0.0026,0.86,3079.2,-0.0055,0.128,0,0,,1.346,0.0288
2025-12-24,23.2,0.0078,1.01,3103.3,0.0096,0.979,0,0,,2.164,0.0086
2025-12-25,23.34,0.006,1.15,3122.0,0.0052,0.83,0,0,,1.999,0.0039
2025-12-26,23.61,0.0116,2.22,3158.2,0.0059,0.83,0,0,,2.296,-0.017
2025-12-29,23.35,-0.011,0.91,3123.4,-0.0062,0.085,0,0,,1.273,
2025-12-30,23.43,0.0034,0.88,3134.1,-0.0011,0.277,0,0,,1.411,
2025-12-31,23.18,-0.0107,0.76,3100.6,-0.0062,0.149,0,0,,1.245,
