ts_code,name,industry,roe_2023,roe_2024,debt_to_assets,netprofit_yoy
001396.SZ,誉帆科技,建筑工程,16.4242,17.5497,43.6326,26.7497
600301.SH,华锡有色,小金属,16.3286,17.5383,35.6026,87.7172
301617.SZ,博苑股份,化工原料,25.3611,17.3378,11.8632,17.0366
000999.SZ,华润三九,中成药,15.8599,17.3289,36.9883,18.0501
600862.SH,中航高科,航空,17.6747,17.3088,20.1068,11.7522
001285.SZ,瑞立科密,汽车配件,17.9766,17.1965,39.2515,14.0663
688050.SH,爱博医疗,医疗保健,15.2377,17.1135,24.6703,27.7732
603057.SH,紫燕食品,食品,16.1689,16.9832,39.5966,4.4983
688188.SH,柏楚电子,专用机械,15.7621,16.9115,6.0191,21.0993
002351.SZ,漫步者,IT设备,17.3275,16.8601,18.9522,7.0621
002050.SZ,三花智控,家用电器,18.9455,16.6657,46.3079,6.0997
002262.SZ,恩华药业,化学制药,17.2011,16.6525,13.821,10.2849
601100.SH,恒立液压,工程机械,18.4944,16.6326,19.4019,0.3993
301678.SZ,新恒汇,半导体,15.9504,16.5161,9.4047,22.0744
605116.SH,奥锐特,化学制药,15.8858,16.5054,39.8691,22.5875
301626.SZ,苏州天脉,元器件,22.3644,16.3764,11.7472,20.2616
688082.SH,盛美上海,半导体,15.1978,16.3296,36.7963,26.6513
000807.SZ,云铝股份,铝,16.4549,16.3245,23.2785,11.5249
002128.SZ,电投能源,铝,16.7698,16.3126,25.2976,17.1496
601156.SH,东航物流,仓储物流,17.1748,16.306,26.2098,8.0063
603040.SH,新坐标,汽车配件,15.6553,16.2418,13.8762,14.764
002130.SZ,沃尔核材,电气设备,15.1184,16.233,40.3009,20.9952
300446.SZ,航天智造,汽车配件,16.3338,16.2001,44.883,87.0193
300776.SZ,帝尔激光,专用机械,16.0381,16.1439,47.6737,14.4029
301556.SZ,托普云农,软件服务,21.7318,16.1258,21.0705,7.3509
600415.SH,小商品城,商品城,16.2436,16.0959,47.477,14.8531
002003.SZ,伟星股份,服饰,15.408,16.0932,30.0559,25.4844
002895.SZ,川恒股份,化工原料,15.1196,16.0299,44.0593,24.8012
301596.SZ,瑞迪智驱,机械基件,25.4077,16.0126,23.9203,4.458
301498.SZ,乖宝宠物,饲料,15.8212,15.9998,17.1311,45.6762
301622.SZ,英思特,矿物制品,20.7112,15.9509,34.4266,28.1458
300192.SZ,科德教育,文教休闲,17.0417,15.9221,23.2391,4.7286
002871.SZ,伟隆股份,机械基件,15.379,15.9019,34.7827,11.558
603112.SH,华翔股份,机械基件,15.0664,15.8873,46.5328,20.9462
600406.SH,国电南瑞,电气设备,16.0248,15.7861,43.1145,6.0617
603201.SH,常润股份,汽车配件,15.2098,15.7412,42.774,16.7771
300201.SZ,海伦哲,工程机械,15.3629,15.6443,40.4292,8.6372
001359.SZ,平安电工,矿物制品,18.7267,15.6392,16.1778,31.1846
688692.SH,达梦数据,软件服务,23.4386,15.5682,13.8494,22.2189
600600.SH,青岛啤酒,啤酒,16.122,15.3778,41.9305,1.8073
603606.SH,东方电缆,电气设备,16.9721,15.3306,43.6379,0.8117
603393.SH,新天然气,供气供热,16.73,15.3236,42.83,13.1248
000997.SZ,新大陆,IT设备,16.7493,15.2294,42.8691,0.5918
002179.SZ,中航光电,元器件,17.6227,15.2143,38.7763,0.4491
688190.SH,云路股份,矿物制品,15.439,15.081,20.2552,8.7264
603193.SH,润本股份,日用化工,17.0984,15.0017,6.2579,32.799
